Datetime,Forecasted_AEP_MW
2018-08-03 01:00:00,16719.105145633224
2018-08-03 02:00:00,15568.866866350174
2018-08-03 03:00:00,14513.399528265
2018-08-03 04:00:00,13841.444678664207
2018-08-03 05:00:00,13637.668161809444
2018-08-03 06:00:00,13867.719275355339
2018-08-03 07:00:00,14352.441210627556
2018-08-03 08:00:00,15029.045211613178
2018-08-03 09:00:00,15865.507792949677
2018-08-03 10:00:00,16776.77315986157
2018-08-03 11:00:00,17601.627990126613
2018-08-03 12:00:00,18337.951567649845
2018-08-03 13:00:00,18987.499630212787
2018-08-03 14:00:00,19558.980752468113
2018-08-03 15:00:00,20050.29534864426
2018-08-03 16:00:00,20491.72797453404
2018-08-03 17:00:00,20733.99673712254
2018-08-03 18:00:00,20758.734583020214
2018-08-03 19:00:00,20713.67320787907
2018-08-03 20:00:00,20564.554594635967
2018-08-03 21:00:00,20253.625727534298
2018-08-03 22:00:00,19722.919406175617
2018-08-03 23:00:00,18964.645264506344
2018-08-04 00:00:00,17945.59411787987
2018-08-04 01:00:00,16763.82219254971
2018-08-04 02:00:00,15568.009167313576
2018-08-04 03:00:00,14554.359699726105
2018-08-04 04:00:00,13888.777083337307
2018-08-04 05:00:00,13707.41983962059
2018-08-04 06:00:00,13899.65679872036
2018-08-04 07:00:00,14337.066499173641
2018-08-04 08:00:00,14983.221223890781
2018-08-04 09:00:00,15761.059163630009
2018-08-04 10:00:00,16652.37942618132
2018-08-04 11:00:00,17466.14275759459
2018-08-04 12:00:00,18205.62387776375
2018-08-04 13:00:00,18825.933335542682
2018-08-04 14:00:00,19326.254251837734
2018-08-04 15:00:00,19785.6572573185
2018-08-04 16:00:00,20132.96293663979
2018-08-04 17:00:00,20301.14206206799
2018-08-04 18:00:00,20247.87539815903
2018-08-04 19:00:00,20078.676254391674
2018-08-04 20:00:00,19832.69719910622
2018-08-04 21:00:00,19446.930489301685
2018-08-04 22:00:00,18855.802968621258
2018-08-04 23:00:00,18102.675021171573
2018-08-05 00:00:00,17075.870006322864
2018-08-05 01:00:00,15876.863420844078
2018-08-05 02:00:00,14685.650082826614
2018-08-05 03:00:00,13673.770760059357
2018-08-05 04:00:00,12987.191325485706
2018-08-05 05:00:00,12746.646605193615
2018-08-05 06:00:00,12863.302798628807
2018-08-05 07:00:00,13202.27304559946
2018-08-05 08:00:00,13752.980658769608
2018-08-05 09:00:00,14470.409885287285
2018-08-05 10:00:00,15304.291685760021
2018-08-05 11:00:00,16130.825896501543
2018-08-05 12:00:00,16915.74489575625
2018-08-05 13:00:00,17600.235309720043
2018-08-05 14:00:00,18100.128817200664
2018-08-05 15:00:00,18546.054518222812
2018-08-05 16:00:00,18866.00987529755
2018-08-05 17:00:00,18957.66841590405
2018-08-05 18:00:00,18814.374088168148
2018-08-05 19:00:00,18528.045719861988
2018-08-05 20:00:00,18161.582520961765
2018-08-05 21:00:00,17665.521285772327
2018-08-05 22:00:00,17014.037877678875
2018-08-05 23:00:00,16254.436367511751
2018-08-06 00:00:00,15294.883409261703
2018-08-06 01:00:00,14194.420007944107
2018-08-06 02:00:00,13021.681295871735
2018-08-06 03:00:00,11972.887298107147
2018-08-06 04:00:00,11190.978169351816
2018-08-06 05:00:00,10828.075429946184
2018-08-06 06:00:00,10792.636035710573
2018-08-06 07:00:00,10931.893751323223
2018-08-06 08:00:00,11263.043737635016
2018-08-06 09:00:00,11777.974951922894
2018-08-06 10:00:00,12477.909711360931
2018-08-06 11:00:00,13213.82653015852
2018-08-06 12:00:00,13959.647227585316
2018-08-06 13:00:00,14671.379430770874
2018-08-06 14:00:00,15309.893622636795
2018-08-06 15:00:00,15888.30357003212
2018-08-06 16:00:00,16315.611535191538
2018-08-06 17:00:00,16537.194671630863
2018-08-06 18:00:00,16549.223588466648
2018-08-06 19:00:00,16445.387258291248
2018-08-06 20:00:00,16218.420691728594
2018-08-06 21:00:00,15929.106704771519
2018-08-06 22:00:00,15493.842212378979
2018-08-06 23:00:00,14897.461405158043
2018-08-07 00:00:00,14131.312376141548
2018-08-07 01:00:00,13206.005909323692
2018-08-07 02:00:00,12205.961488604546
2018-08-07 03:00:00,11259.770458444953
2018-08-07 04:00:00,10499.700599461794
2018-08-07 05:00:00,10099.71054071188
2018-08-07 06:00:00,10039.541464567184
2018-08-07 07:00:00,10144.614278838038
2018-08-07 08:00:00,10480.901935204864
2018-08-07 09:00:00,10997.823241770267
2018-08-07 10:00:00,11715.10551649332
2018-08-07 11:00:00,12491.052532404661
2018-08-07 12:00:00,13301.661922931671
2018-08-07 13:00:00,14081.316110014915
2018-08-07 14:00:00,14840.856150150299
2018-08-07 15:00:00,15516.37770229578
2018-08-07 16:00:00,16054.510852098465
2018-08-07 17:00:00,16409.38118720055
2018-08-07 18:00:00,16544.17536211014
2018-08-07 19:00:00,16590.61885249615
2018-08-07 20:00:00,16579.806850194935
2018-08-07 21:00:00,16470.53426408768
2018-08-07 22:00:00,16187.36007678509
